"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"International Journal of Advances in Intelligent Informatics","3","45.0%
58/106
Computer Vision and Pattern Recognition","379","126","67","0.606","0.315","Universitas Ahmad Dahlan"
"Journal of Biomedical Physics and Engineering","2.9","60.0%
98/247
Physical Therapy, Sports Therapy and Rehabilitation","833","286","63","0.568","0.332","Shiraz University of Medical Sciences"
"International Journal of Pattern Recognition and Artificial Intelligence","2.9","42.0%
61/106
Computer Vision and Pattern Recognition","2417","846","63","0.454","0.302","World Scientific"
"Bulletin of the Polish Academy of Sciences: Technical Sciences","2.8","58.0%
127/307
General Engineering","1579","560","68","0.573","0.282","Polish Academy of Sciences"
"Perception","2.8","55.0%
62/137
Ophthalmology","732","260","65","0.816","0.584","SAGE"
"Chip","2.8","46.0%
72/133
Computer Science (miscellaneous)","158","56","61","N/A","N/A","Elsevier"
"Journal of Control and Decision","2.8","53.0%
61/130
Control and Optimization","473","167","65","0.619","0.465","Taylor & Francis"
"Proceedings of the International Joint Conference on Neural Networks","2.8","37.0%
221/350
Artificial Intelligence","12345","4360","59","0.582","0.5","IEEE"
"International Journal of Mechanical Engineering and Robotics Research","2.8","50.0%
331/672
Mechanical Engineering","1433","518","72","0.473","0.263","International Journal of Mechanical Engineering and Robotics Research"
"International Journal of Fuzzy Logic and Intelligent Systems","2.8","84.0%
7/41
Logic","444","160","61","0.741","0.312","Korean Institute of Intelligent Systems"
"Journal of Geo-Information Science","2.7","50.0%
37/73
Computers in Earth Sciences","2023","754","69","0.655","0.33","Science Press"
"Vietnam Journal of Computer Science","2.7","49.0%
89/176
Computational Theory and Mathematics","275","101","64","0.589","0.285","World Scientific"
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems","2.7","44.0%
179/321
Control and Systems Engineering","665","249","66","0.495","0.411","World Scientific"
"Revue d'Intelligence Artificielle","2.6","34.0%
230/350
Artificial Intelligence","1149","448","58","0.609","0.278","International Information and Engineering Technology Association"
"Advanced Control for Applications: Engineering and Industrial Systems","2.6","43.0%
182/321
Control and Systems Engineering","194","76","64","0.553","0.439","John Wiley & Sons"
"Springer Proceedings in Advanced Robotics","2.6","56.0%
276/635
Applied Mathematics","1774","693","59","0.723","0.296","Springer Nature"
"Journal of Business Analytics","2.5","58.0%
71/168
Statistics, Probability and Uncertainty","132","53","66","0.688","0.42","Taylor & Francis"
"Psychoradiology","2.5","62.0%
37/97
Psychology (miscellaneous)","131","52","50","1.251","1.093","Oxford University Press"
"International Journal of Swarm Intelligence Research","2.5","47.0%
93/176
Computational Theory and Mathematics","321","127","63","0.325","0.307","IGI Global Publishing"
"Cognitive Computation and Systems","2.5","40.0%
64/106
Computer Vision and Pattern Recognition","280","112","63","0.411","0.322","John Wiley & Sons"
"Register: Jurnal Ilmiah Teknologi Sistem Informasi","2.5","58.0%
11/25
Decision Sciences (miscellaneous)","139","55","56","0.491","0.236","Universitas Pesantren Tinggi Darul Ulum"
"International Journal of Computer Information Systems and Industrial Management Applications","2.5","43.0%
75/131
Management Information Systems","383","151","42","0.398","0.203","Cerebration Science Publishing"
"Kongzhi yu Juece/Control and Decision","2.4","45.0%
72/130
Control and Optimization","3423","1435","67","0.663","0.288","Northeast University"
"Statistics, Optimization and Information Computing","2.4","59.0%
114/278
Statistics and Probability","648","274","62","0.713","0.375","International Academic Press"
"Journal of Applied Biomedicine","2.4","66.0%
216/636
General Medicine","207","88","59","0.55","0.363","University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences"
"IEEE International Conference on Fuzzy Systems","2.3","52.0%
305/635
Applied Mathematics","1642","723","64","0.472","0.316","IEEE"
"AI Communications","2.3","31.0%
242/350
Artificial Intelligence","185","79","65","0.589","0.573","SAGE"
"Fuzzy Information and Engineering","2.3","73.0%
11/41
Logic","248","110","59","0.917","0.304","Tsinghua University Press"
"Lecture Notes in Computational Vision and Biomechanics","2.3","44.0%
375/672
Mechanical Engineering","310","137","54","N/A","N/A","Springer Nature"
"Complex Systems Informatics and Modeling Quarterly","2.3","51.0%
99/204
Engineering (miscellaneous)","165","71","59","0.626","0.28","Riga Technical University"
"Journal of Medical Artificial Intelligence","2.3","50.0%
198/398
Medicine (miscellaneous)","122","53","43","0.481","0.307","AME Publishing Company"
"Informatica (Slovenia)","2.2","35.0%
85/130
Theoretical Computer Science","936","427","56","0.612","0.308","Slovene Society Informatika"
"Studies in Computational Intelligence","2.2","28.0%
250/350
Artificial Intelligence","12652","5759","48","0.317","0.208","Springer Nature"
"Intelligent Data Analysis","2.2","36.0%
83/130
Theoretical Computer Science","718","321","57","0.502","0.322","SAGE"
"Constraints","2.2","72.0%
26/92
Discrete Mathematics and Combinatorics","103","47","49","0.879","0.586","Springer Nature"
"Chinese Journal of Intelligent Science and Technology","2.2","36.0%
85/133
Computer Science (miscellaneous)","437","199","54","0.378","0.23","Beijing Xintong Media Co., Ltd."
"Journal of Image and Graphics","2.2","42.0%
61/106
Computer Graphics and Computer-Aided Design","2012","913","60","0.63","0.212","Editorial and Publishing Board of JIG"
"International Journal of Knowledge-Based and Intelligent Engineering Systems","2.1","52.0%
133/278
Statistics and Probability","256","122","59","0.544","0.267","SAGE"
"SAE International Journal of Connected and Automated Vehicles","2.1","50.0%
63/125
Automotive Engineering","254","120","56","0.445","0.309","SAE"
"Journal of Medical Robotics Research","2.1","47.0%
331/635
Applied Mathematics","92","43","56","0.311","0.208","World Scientific"
"International Journal on Artificial Intelligence Tools","2.1","27.0%
256/350
Artificial Intelligence","525","249","59","0.456","0.288","World Scientific"
"Journal of Consciousness Studies","2","86.0%
108/806
Philosophy","531","260","58","0.784","0.61","Imprint Academic"
"Inteligencia Artificial","2","26.0%
258/350
Artificial Intelligence","172","84","54","0.344","0.218","Asociacion Espanola de Inteligencia Artificial"
"Artificial Life and Robotics","2","37.0%
138/221
General Biochemistry, Genetics and Molecular Biology","676","342","63","0.565","0.301","Springer Nature"
"International Journal of Cognitive Informatics and Natural Intelligence","2","25.0%
261/350
Artificial Intelligence","254","125","61","0.271","0.226","IGI Global Publishing"
"Advances in Computer Vision and Pattern Recognition","2","30.0%
74/106
Computer Vision and Pattern Recognition","372","190","49","N/A","N/A","Springer Nature"
"Studies in Big Data","2","43.0%
116/204
Engineering (miscellaneous)","2264","1106","41","0.329","0.196","Springer Nature"
"International Journal of Software Engineering and Knowledge Engineering","1.9","39.0%
65/106
Computer Graphics and Computer-Aided Design","531","282","56","0.432","0.251","World Scientific"
"IEICE Transactions on Information and Systems","1.8","34.0%
522/797
Electrical and Electronic Engineering","1886","1020","55","0.348","0.277","Maruzen Co., Ltd/Maruzen Kabushikikaisha"
"International Conference Recent Advances in Natural Language Processing, RANLP","1.8","33.0%
534/797
Electrical and Electronic Engineering","635","361","50","0.732","0.299",""
"Neural Network World","1.8","23.0%
268/350
Artificial Intelligence","163","91","54","0.558","0.251","Czech Technical University in Prague"
"Intelligence and Robotics","1.8","23.0%
270/350
Artificial Intelligence","115","65","46","0.698","N/A","OAE Publishing Inc."
"International Journal of Advanced Technology and Engineering Exploration","1.8","38.0%
66/106
Computer Graphics and Computer-Aided Design","647","361","56","0.399","0.24","Accent Social and Welfare Society"
"IET Blockchain","1.8","29.0%
279/395
Computer Networks and Communications","61","33","52","N/A","N/A","John Wiley & Sons"
"Applications of Modelling and Simulation","1.8","39.0%
124/204
Engineering (miscellaneous)","159","89","42","0.384","N/A","ARQII Publication"
"Intelligent Decision Technologies","1.7","43.0%
95/168
Statistics, Probability and Uncertainty","423","243","53","0.443","0.266","SAGE"
"Journal of Computer Science","1.7","26.0%
292/395
Computer Networks and Communications","786","473","53","0.372","0.204","Science Publications"
"Cybernetics and Physics","1.7","38.0%
50/81
Physics and Astronomy (miscellaneous)","211","127","61","0.714","0.265","Institute of Problems of Mechanical Engineering, Russian Academy of Sciences"
"International Journal of Computing and Digital Systems","1.7","37.0%
67/106
Computer Graphics and Computer-Aided Design","1151","667","54","0.384","0.215","University of Bahrain"
"Journal of Intelligent Systems and Internet of Things","1.7","26.0%
290/395
Computer Networks and Communications","93","55","76","N/A","N/A","American Scientific Publishing Group (ASPG)"
"Art, Science, and Engineering of Programming","1.7","33.0%
118/176
Computational Theory and Mathematics","129","74","65","0.417","0.212","AOSA Inc."
"International Journal of Semantic Computing","1.7","77.0%
259/1167
Linguistics and Language","172","101","54","0.563","0.258","World Scientific"
"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence","1.6","23.0%
82/106
Computer Vision and Pattern Recognition","609","392","56","0.374","0.184","Science Press"
"Informatics and Automation","1.6","36.0%
406/635
Applied Mathematics","306","189","56","0.506","0.239","St. Petersburg Federal Research Center of the  Russian Academy of Sciences"
"International Journal of Mechatronics and Automation","1.6","38.0%
238/384
Industrial and Manufacturing Engineering","102","64","58","0.969","0.138","Inderscience Publishers"
"Mathematical Foundations of Computing","1.5","32.0%
128/189
Computational Mathematics","205","134","59","0.578","0.363","American Institute of Mathematical Sciences"
"Journal of Advanced Computational Intelligence and Intelligent Informatics","1.5","19.0%
86/106
Computer Vision and Pattern Recognition","641","430","53","0.384","0.239","Fuji Technology Press"
"Information and Control","1.5","29.0%
92/130
Control and Optimization","474","307","57","0.406","0.185","Science Press"
"Indonesian Journal of Electrical Engineering and Informatics","1.5","28.0%
572/797
Electrical and Electronic Engineering","493","325","55","0.336","0.196","Institute of Advanced Engineering and Science (IAES)"
"Applied Computer Science","1.5","47.0%
128/242
Economics, Econometrics and Finance (miscellaneous)","198","135","52","0.321","0.148","Polish Association for Knowledge Promotion"
"CAAI Transactions on Intelligent Systems","1.5","27.0%
233/321
Control and Systems Engineering","748","496","54","0.568","0.218","Editorial Department of CAAI Transactions on Intelligent Systems"
"Data Analysis and Knowledge Discovery","1.4","51.0%
137/280
Library and Information Sciences","793","581","52","0.448","0.219","Chinese Academy of Sciences"
"Advances in Distributed Computing and Artificial Intelligence Journal","1.4","18.0%
665/817
Computer Science Applications","80","59","41","0.563","0.422","University of Salamanca"
"International Journal of Software Innovation","1.4","28.0%
76/106
Computer Graphics and Computer-Aided Design","318","228","46","0.244","0.175","IGI Global Publishing"
"Computer Science","1.4","27.0%
77/106
Computer Graphics and Computer-Aided Design","132","96","49","0.433","0.208","AGH University of Science and Technology"
"Learning and Analytics in Intelligent Systems","1.4","24.0%
244/321
Control and Systems Engineering","1578","1152","41","0.24","N/A","Springer Nature"
"Journal of Uncertain Systems","1.4","25.0%
98/130
Control and Optimization","117","86","52","0.563","0.238","World Scientific"
"Kybernetika","1.3","24.0%
601/797
Electrical and Electronic Engineering","255","195","47","0.433","0.275","Akademie Ved Ceske Republiky"
"Frontiers in Artificial Intelligence and Applications","1.3","16.0%
294/350
Artificial Intelligence","4066","3021","33","0.475","0.281","IOS Press"
"Law, Technology and Humans","1.3","62.0%
382/1025
Law","125","96","49","0.497","0.205","Queensland University of Technology"
"Advanced Intelligent Systems","1.3","30.0%
136/196
Materials Science (miscellaneous)","387","293","47","N/A","N/A","John Wiley & Sons"
"Journal of Computer Science and Technology (Argentina)","1.3","19.0%
107/133
Computer Science (miscellaneous)","60","48","46","0.627","0.312","Facultad de Informatica, Universidad Nacional de La Plata"
"International Journal of Intelligent Systems and Applications in Engineering","1.3","25.0%
79/106
Computer Graphics and Computer-Aided Design","1788","1428","39","0.352","0.209","Auricle Global Society of Education and Research"
"International Journal of Robotics and Automation","1.2","27.0%
489/672
Mechanical Engineering","253","204","54","0.296","0.217","Acta Press"
"International Journal of Intelligent Engineering Informatics","1.2","19.0%
106/131
Signal Processing","45","39","59","0.014","N/A","Inderscience Publishers"
"Computability","1.1","19.0%
143/176
Computational Theory and Mathematics","77","69","48","0.564","0.599","SAGE"
"Journal of Automation, Mobile Robotics and Intelligent Systems","1.1","18.0%
261/321
Control and Systems Engineering","142","133","38","0.201","0.157","Walter de Gruyter"
"Journal of Transportation Engineering and Information","1.1","22.0%
294/379
Civil and Structural Engineering","262","245","51","N/A","N/A","Southwest Jiaotong University"
"Proceedings of the International Symposium on Automation and Robotics in Construction","1","26.0%
165/223
Building and Construction","326","326","44","0.313","0.277",""
"Journal of Zhengzhou University - Natural Science","1","44.0%
95/171
","297","283","43","N/A","N/A","Editorial Department of Journal of Zhengzhou University"
"Web Intelligence","0.9","11.0%
309/350
Artificial Intelligence","86","101","40","0.142","0.151","SAGE"
"Mekhatronika, Avtomatizatsiya, Upravlenie","0.9","17.0%
659/797
Electrical and Electronic Engineering","273","297","46","0.603","0.235","New Technologies Publishing House"
"Journal of Robotics, Networking and Artificial Life","0.9","12.0%
307/350
Artificial Intelligence","198","210","47","0.461","0.165","ALife Robotics Corporation Ltd"
"Springer Tracts in Advanced Robotics","0.8","15.0%
673/797
Electrical and Electronic Engineering","176","209","21","N/A","N/A","Springer Nature"
"Journal of Information Systems and Telecommunication","0.8","11.0%
311/350
Artificial Intelligence","95","116","43","0.186","0.16","Iranian Academic Center for Education, Culture and Research"
"International Journal of Mechatronics and Applied Mechanics","0.8","12.0%
407/463
General Materials Science","244","304","31","0.378","0.171","Cefin Publishing House"
"International Journal of Systematic Innovation","0.8","35.0%
110/171
","66","82","34","0.157","0.151","The Society of Systematic Innovation"
"Computer Science Journal of Moldova","0.8","13.0%
113/130
Control and Optimization","63","82","33","0.38","0.184","Institute of Mathematics and Computer Science of Moldova"
"Advances in Artificial Intelligence and Machine Learning","0.8","11.0%
312/350
Artificial Intelligence","84","104","33","0.639","0.163","Shimur Publications"
"Journal of Cybersecurity and Information Management","0.7","9.0%
316/350
Artificial Intelligence","30","42","21","N/A","N/A","American Scientific Publishing Group (ASPG)"
"Journal of Mechatronics, Electrical Power, and Vehicular Technology","0.7","14.0%
575/672
Mechanical Engineering","36","55","33","0.075","0.13","National Research and Innovation Agency (BRIN)"
"International Journal of Automation and Smart Technology","0.7","13.0%
693/797
Electrical and Electronic Engineering","32","48","27","0.421","0.119","Chinese Institute of Automation Engineers"
"Understanding Complex Systems","0.6","8.0%
319/350
Artificial Intelligence","188","294","23","N/A","N/A","Springer Nature"
"Constructivist Foundations","0.6","22.0%
133/171
","217","367","26","0.335","0.169","Vrije Universiteit Brussel"
"System Research and Information Technologies","0.6","11.0%
563/635
Applied Mathematics","94","147","31","0.319","0.144","National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute"
"International Conference of Control, Dynamic Systems, and Robotics","0.6","9.0%
290/321
Control and Systems Engineering","45","71","30","0.096","N/A","Avestia Publishing"
"Journal of Engineering and Technology for Industrial Applications","0.6","19.0%
311/384
Industrial and Manufacturing Engineering","100","166","28","0.23","0.134","Galileo Institute of Technology and Education of the Amazon (ITEGAM)"
"International Conference on Agents and Artificial Intelligence","0.6","8.0%
321/350
Artificial Intelligence","300","472","36","0.336","N/A","Science and Technology Publications, Lda"
"Advanced Information and Knowledge Processing","0.5","7.0%
137/148
Information Systems and Management","19","40","35","N/A","N/A","Springer Nature"
"Sistemi Intelligenti","0.5","48.0%
556/1088
Language and Linguistics","67","142","24","0.151","0.136","Il Mulino publishing house"
"Biosystems and Biorobotics","0.5","11.0%
598/672
Mechanical Engineering","167","367","29","N/A","N/A","Springer Nature"
"Advanced Information Systems","0.5","7.0%
325/350
Artificial Intelligence","26","49","37","N/A","N/A","National Technical University ""Kharkiv Polytechnic Institute"""
"Transactions of the Japanese Society for Artificial Intelligence","0.4","6.0%
329/350
Artificial Intelligence","69","154","21","0.096","0.114","Japanese Society for Artificial Intelligence"
"Artificial Intelligence Surgery","0.4","14.0%
471/551
Surgery","6","16","31","N/A","N/A","OAE Publishing Inc."
"Journal of Autonomous Intelligence","0.4","8.0%
122/133
Computer Science (miscellaneous)","46","115","24","0.027","0.127","Frontier Scientific Publishing"
"Cognitive Technologies","0.3","4.0%
336/350
Artificial Intelligence","43","140","19","N/A","N/A","Springer Nature"
"International Journal of Mobile Network Design and Innovation","0.3","5.0%
333/350
Artificial Intelligence","9","26","19","0.128","0.115","Inderscience Publishers"
"Cognitive Science and Technology","0.3","3.0%
141/145
Human-Computer Interaction","121","463","14","N/A","N/A","Springer Nature"
"Journal of Cognitive Science","0.3","34.0%
713/1088
Language and Linguistics","22","73","16","0.186","0.118","Institute for Cognitive Science at Seoul National University"
"Hellenic Journal of Radiology","0.3","7.0%
310/333
Radiology, Nuclear Medicine and Imaging","31","100","17","0.132","0.12","Zita Medical Management"
"Law, Governance and Technology Series","0.3","22.0%
793/1025
Law","70","229","16","N/A","N/A","Springer Nature"
"International Journal of Asia Digital Art and Design","0.3","57.0%
286/667
Visual Arts and Performing Arts","8","23","30","0.038","0.112","Asia Digital Art and Design Association"
"SpringerBriefs in Control, Automation and Robotics","0.3","6.0%
629/672
Mechanical Engineering","15","57","18","N/A","N/A","Springer Nature"
"Proceedings of the International Conference on Virtual Learning","0.3","2.0%
341/350
Artificial Intelligence","39","152","20","0.11","0.152",""
"Challenges to National Defence in Contemporary Geopolitical Situation","0.3","17.0%
585/706
Political Science and International Relations","25","78","14","0.033","0.107",""
"Rivista Italiana di Informatica e Diritto","0.2","18.0%
839/1025
Law","24","97","22","0.45","N/A","Consiglio Nazionale delle Ricerche"
"Linguistica","0.2","19.0%
874/1088
Language and Linguistics","12","73","14","0.505","0.12","Asociacion de Linguistica y Filologia de la America Latina"
"Proceedings of the International Conference Computational Linguistics in Bulgaria","0.2","21.0%
917/1167
Linguistics and Language","10","49","14","0.106","0.101","Institute for Bulgarian Language"
"SAE International Journal of Advances and Current Practices in Mobility","0.1","3.0%
648/672
Mechanical Engineering","7","114","6","0","0.104","SAE"
"NED University Journal of Research","0.1","2.0%
299/307
General Engineering","1","13","8","0","0.104","NED University Press"
"Proceedings of the World Congress on Electrical Engineering and Computer Systems and Science","0.1","3.0%
770/797
Electrical and Electronic Engineering","12","144","8","0.024","0.107","Avestia Publishing"
"Computational Design and Robotic Fabrication","0.1","3.0%
768/797
Electrical and Electronic Engineering","4","45","7","N/A","N/A","Springer Nature"
"Proceedings of the International Conference on Artificial Intelligence, IC-AI'04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Proceedings - 2010 International Conference on Intelligent System Design and Engineering Application, ISDEA 2010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"J Cybern","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hemisphere Publishing Corp."
"Journal of Memetics","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Manchester Metropolitan University"
"International Journal of Machine Consciousness","N/A","N/A","N/A","N/A","N/A","N/A","N/A","World Scientific"
"PCIM Asia-International Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management","N/A","N/A","N/A","N/A","N/A","N/A","N/A","VDE-Verlag"
"Studies in Computer Science and Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Elsevier"
"Machine Intelligence and Pattern Recognition","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Elsevier"
"Biologically Inspired Cognitive Architectures","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Elsevier"
"Foundations of Artificial Intelligence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Elsevier"
"Psyche","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Association for the Scientific Study of Conciousness"
"Proceedings of the IASTED International Conference on Intelligent Systems and Control","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Acta Press"
"Web Intelligence and Agent Systems","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IOS Press"
"IEEE Conference on Robotics, Automation and Mechatronics, RAM - Proceedings","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International Conference on Systems, Signals, and Image Processing","N/A","N/A","N/A","N/A","N/A","1.206","N/A","IEEE"
"Brazilian Symposium on Games and Digital Entertainment, SBGAMES","N/A","N/A","N/A","N/A","N/A","0.528","N/A","IEEE"
"IEEE Symposium on Computational Intelligence Applications in Smart Grid, CIASG","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Conference on Computatonal Intelligence and Games, CIG","N/A","N/A","N/A","N/A","N/A","0.712","N/A","IEEE"
"IEEE Workshop on Computational Intelligence in Biometrics and Identity Management, CIBIM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE International Conference on Cloud Computing, CLOUD","N/A","N/A","N/A","N/A","N/A","0.672","N/A","IEEE"
"Iranian Conference on Machine Vision and Image Processing, MVIP","N/A","N/A","N/A","N/A","N/A","0.698","N/A","IEEE"
"IEEE Haptics Symposium, HAPTICS","N/A","N/A","N/A","N/A","N/A","0.695","N/A","IEEE"
"Automatic Control and Computer Sciences (English translation of Avtomatika i Vychislitel'naya Tekhnika)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Izdatel'stvo Nauka"
"Proceedings - IEEE International High-Level Design Validation and Test Workshop, HLDVT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE International Conference on Control and Automation, ICCA","N/A","N/A","N/A","N/A","N/A","0.287","N/A","IEEE"
"International Conference on Intelligent Systems Design and Applications, ISDA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE-RAS International Conference on Humanoid Robots","N/A","N/A","N/A","N/A","N/A","0.721","N/A","IEEE"
"Proceedings of International Conference on Information and Computing Science, ICIC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of the IEEE RAS and EMBS International Conference on Biomedical Robotics and Biomechatronics","N/A","N/A","N/A","N/A","N/A","0.444","N/A","IEEE"
"International Conference on Control, Automation and Systems","N/A","N/A","N/A","N/A","N/A","0.267","N/A","IEEE"
"Proceedings of IEEE International Conference on Virtual Environments, Human-Computer Interfaces, and Measurement Systems,VECIMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of IEEE Workshop on Advanced Robotics and its Social Impacts, ARSO","N/A","N/A","N/A","N/A","N/A","0.529","N/A","IEEE"
"ACM/IEEE International Conference on Human-Robot Interaction","N/A","N/A","N/A","N/A","N/A","0.888","N/A","IEEE"
"Proceedings of the International Conference on Sensing Technology, ICST","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Conference on Technologies for Practical Robot Applications, TePRA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"ISSNIP Biosignals and Biorobotics Conference, BRC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International Conference on Next Generation Networks and Services, NGNS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International IEEE/EMBS Conference on Neural Engineering, NER","N/A","N/A","N/A","N/A","N/A","0.385","N/A","IEEE"
"Proceedings - Brazilian Symposium on Neural Networks, SBRN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - International Conference on Intelligent Systems, Modelling and Simulation, ISMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Transactions on Neural Networks","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Intelligent Systems and Their Applications","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International Conference on Advanced Robotics and Intelligent Systems, ARIS","N/A","N/A","N/A","N/A","N/A","0.328","N/A","IEEE"
"IEEE Conference on Evolving and Adaptive Intelligent Systems","N/A","N/A","N/A","N/A","N/A","4.86","N/A","IEEE"
"Proceedings - International Conference on Developments in eSystems Engineering, DeSE","N/A","N/A","N/A","N/A","N/A","0.543","N/A","IEEE"
"Proceedings - International Conference on Computational Intelligence and Networks","N/A","N/A","N/A","N/A","N/A","0.088","N/A","IEEE"
"Proceedings - IEEE International Conference on Edge Computing","N/A","N/A","N/A","N/A","N/A","0.562","N/A","IEEE"
"Proceedings - IEEE International Conference on Semantic Computing, ICSC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of IEEE International Conference on Signal Processing,Computing and Control","N/A","N/A","N/A","N/A","N/A","0.815","N/A","IEEE"
"Proceedings - Ivannikov ISPRAS Open Conference","N/A","N/A","N/A","N/A","N/A","0.093","N/A","IEEE"
"Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of the IEEE International Conference on Computer Communication and the Internet, ICCCI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - International Conference on Knowledge and Systems Engineering, KSE","N/A","N/A","N/A","N/A","N/A","0.292","N/A","IEEE"
"Proceedings - IEEE Global Communications Conference, GLOBECOM","N/A","N/A","N/A","N/A","N/A","0.531","N/A","IEEE"
"Proceedings - International Seminar on Intelligent Technology and its Applications, ISITIA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE International Symposium for Design and Technology of Electronics Packages, SIITME - Conference Proceedings","0","1.0%
128/130
Control and Optimization","0","75","0","N/A","N/A","IEEE"
"International IEEE Conference proceedings, IS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - International Conference on Informatics and Computational Sciences","N/A","N/A","N/A","N/A","N/A","0.167","N/A","IEEE"
"Proceedings - Swiss Conference on Data Science, SDS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Annals of Computer Science and Intelligence Systems","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Iranian Conference on Electrical Engineering, ICEE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"International Conference on eDemocracy and eGovernment, ICEDEG","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"RAICS - IEEE Recent Advances in Intelligent Computational Systems","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of the IEEE International Conference on Cybernetics and Intelligent Systems, CIS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceeding of the IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceeding of the WRC Symposium on Advanced Robotics and Automation, WRC SARA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings of the International Conference on Multimedia Information Processing and Retrieval, MIPR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, ChileCon","0","1.0%
128/130
Control and Optimization","0","153","0","N/A","N/A","IEEE"
"Proceedings of the IEEE International Conference on Web Services, ICWS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE International Conference on Neural Networks - Conference Proceedings","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Transactions on Computational Intelligence and AI in Games","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Transactions on Autonomous Mental Development","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Symposium on Artificial Life (ALIFE)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"eChallenges Conference","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - International Conference on Smart-Green Technology in Electrical and Information Systems, ICSGTEIS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"Proceedings - IEEE Consumer Communications and Networking Conference, CCNC","N/A","N/A","N/A","N/A","N/A","0.529","N/A","IEEE"
"Proceedings - IEEE International Conference on Advanced Video and Signal-Based Surveillance, AVSS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","IEEE"
"IEEE Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","N/A","N/A","N/A","N/A","N/A","0.278","N/A","IEEE"
