"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"Artificial Intelligence","11.2","99.0%
7/1088
Language and Linguistics","4984","445","83","3.512","2.042","Elsevier"
"Smart Cities","11.2","98.0%
6/279
Urban Studies","4318","386","78","2.24","1.326","Multidisciplinary Digital Publishing Institute (MDPI)"
"CAAI Transactions on Intelligence Technology","11","91.0%
35/395
Computer Networks and Communications","2727","249","87","2.19","1.322","John Wiley & Sons"
"Machine Learning","11","89.0%
45/407
Software","5244","477","73","2.57","1.72","Springer Nature"
"IEEE Transactions on Biometrics, Behavior, and Identity Science","10.9","95.0%
7/141
Instrumentation","1868","171","86","2.057","1.56","IEEE"
"Granular Computing","10.7","89.0%
89/817
Computer Science Applications","2911","271","87","1.737","1.415","Springer Nature"
"Data Science and Engineering","10.4","88.0%
92/817
Computer Science Applications","1153","111","84","3.246","1.836","Springer Nature"
"IEEE Transactions on Emerging Topics in Computational Intelligence","10.3","97.0%
6/189
Computational Mathematics","3707","361","83","1.93","1.894","IEEE"
"Journal of Parallel and Distributed Computing","10.3","91.0%
11/130
Theoretical Computer Science","6282","610","83","1.628","1.187","Elsevier"
"ICT Express","10.2","88.0%
45/395
Computer Networks and Communications","4242","416","78","2.012","1.133","Korean Institute of Communications and Information Sciences"
"Integrated Computer-Aided Engineering","9.9","93.0%
12/176
Computational Theory and Mathematics","904","91","80","1.352","1.186","SAGE"
"IACR Transactions on Cryptographic Hardware and Embedded Systems","9.9","91.0%
10/106
Computer Graphics and Computer-Aided Design","3141","318","80","2.566","1.926","Ruhr-University of Bochum"
"Progress in Artificial Intelligence","9.7","81.0%
64/350
Artificial Intelligence","1011","104","78","1.477","0.828","Springer Nature"
"Journal of Artificial Intelligence Research","9.6","81.0%
66/350
Artificial Intelligence","3900","405","77","2.837","1.614","Elsevier"
"IEEE Robotics and Automation Letters","9.6","95.0%
6/130
Control and Optimization","44648","4631","83","1.825","2.119","IEEE"
"Engineering Applications of Artificial Intelligence","9.6","88.0%
38/321
Control and Systems Engineering","25643","2673","76","2.09","1.749","Elsevier"
"Complex and Intelligent Systems","9.6","96.0%
7/189
Computational Mathematics","9233","965","82","1.876","1.321","Springer Nature"
"Systems Science and Control Engineering","9.5","95.0%
7/130
Control and Optimization","2731","287","77","1.797","1.248","Taylor & Francis"
"Artificial Intelligence and Law","9.5","98.0%
16/1025
Law","824","87","84","3.467","1.501","Springer Nature"
"Cognitive Systems Research","9.4","97.0%
5/165
Experimental and Cognitive Psychology","2220","237","80","1.549","0.957","Elsevier"
